factor,component_var,share_of_parametric_var
dow,866128.7599780584,0.7857898995659578
eurusd,71451.51350398514,0.06482393867345371
gbpusd,38999.18197842472,0.03538176389704136
gold,129885.72682991366,0.11783801318791774
ust10y,-4225.562696802399,-0.0038336153243706287
