date,pnl,loss,var,exception
2016-12-30,248392.893085615,-248392.893085615,883340.3183035433,False
2017-01-03,114310.2568537446,-114310.2568537446,883340.3183035433,False
2017-01-04,39485.95404755007,-39485.95404755007,883340.3183035433,False
2017-01-05,561306.3211238317,-561306.3211238317,883340.3183035433,False
2017-01-06,168767.32827012686,-168767.32827012686,883340.3183035433,False
2017-01-09,-152036.27302487148,152036.27302487148,883340.3183035433,False
2017-01-10,-18211.88189094769,18211.88189094769,883340.3183035433,False
2017-01-11,271908.8259060465,-271908.8259060465,883340.3183035433,False
2017-01-12,72952.24619673134,-72952.24619673134,883340.3183035433,False
2017-01-13,-106076.40154610631,106076.40154610631,883340.3183035433,False
2017-01-17,109171.31230700042,-109171.31230700042,883340.3183035433,False
2017-01-18,263756.8416632579,-263756.8416632579,883340.3183035433,False
2017-01-19,-663929.10214274,663929.10214274,883340.3183035433,False
2017-01-20,314546.5051885687,-314546.5051885687,883340.3183035433,False
2017-01-23,385932.6871213159,-385932.6871213159,883340.3183035433,False
2017-01-24,164161.22954702072,-164161.22954702072,883340.3183035433,False
2017-01-25,-63963.2919811506,63963.2919811506,883340.3183035433,False
2017-01-26,119748.26957211192,-119748.26957211192,883340.3183035433,False
2017-01-27,-121786.63520199306,121786.63520199306,883340.3183035433,False
2017-01-30,-98593.0078332925,98593.0078332925,883340.3183035433,False
2017-01-31,3610.4186658891995,-3610.4186658891995,883340.3183035433,False
2017-02-01,201996.68685099704,-201996.68685099704,883340.3183035433,False
2017-02-02,125395.96212547134,-125395.96212547134,883340.3183035433,False
2017-02-03,177389.92535292092,-177389.92535292092,883340.3183035433,False
2017-02-06,313638.3392239289,-313638.3392239289,883340.3183035433,False
2017-02-07,90311.50507536888,-90311.50507536888,883340.3183035433,False
2017-02-08,-24858.981865952257,24858.981865952257,883340.3183035433,False
2017-02-09,117574.92708726392,-117574.92708726392,883340.3183035433,False
2017-02-10,39071.117918720876,-39071.117918720876,883340.3183035433,False
2017-02-13,-21034.10295167254,21034.10295167254,883340.3183035433,False
2017-02-14,51057.585323781575,-51057.585323781575,883340.3183035433,False
2017-02-15,118942.71138671918,-118942.71138671918,883340.3183035433,False
2017-02-16,299342.1767061311,-299342.1767061311,883340.3183035433,False
2017-02-17,178529.7554030635,-178529.7554030635,883340.3183035433,False
2017-02-21,64774.57921713114,-64774.57921713114,883340.3183035433,False
2017-02-22,-104243.76590311702,104243.76590311702,883340.3183035433,False
2017-02-23,351421.19522727723,-351421.19522727723,883340.3183035433,False
2017-02-24,415879.472203361,-415879.472203361,883340.3183035433,False
2017-02-27,-280498.27308228577,280498.27308228577,883340.3183035433,False
2017-02-28,18114.007785994258,-18114.007785994258,883340.3183035433,False
2017-03-01,125885.42026996112,-125885.42026996112,883340.3183035433,False
2017-03-02,-603868.8148825417,603868.8148825417,883340.3183035433,False
2017-03-03,-127772.38684337278,127772.38684337278,883340.3183035433,False
2017-03-06,126857.7561838119,-126857.7561838119,883340.3183035433,False
2017-03-07,-330610.7357258925,330610.7357258925,883340.3183035433,False
2017-03-08,-347491.45061262033,347491.45061262033,883340.3183035433,False
2017-03-09,-253046.14478155685,253046.14478155685,883340.3183035433,False
2017-03-10,136310.02503162067,-136310.02503162067,883340.3183035433,False
2017-03-13,143514.21581942358,-143514.21581942358,883340.3183035433,False
2017-03-14,-91879.9677697496,91879.9677697496,883340.3183035433,False
2017-03-15,271008.5285785341,-271008.5285785341,883340.3183035433,False
2017-03-16,610927.6869509288,-610927.6869509288,883340.3183035433,False
2017-03-17,182994.85979991924,-182994.85979991924,883340.3183035433,False
2017-03-20,69820.78171862471,-69820.78171862471,883340.3183035433,False
2017-03-21,-177549.68178362522,177549.68178362522,883340.3183035433,False
2017-03-22,357974.8926016673,-357974.8926016673,883340.3183035433,False
2017-03-23,-138115.36082833254,138115.36082833254,883340.3183035433,False
2017-03-24,-16637.39199058211,16637.39199058211,883340.3183035433,False
2017-03-27,195507.0448479901,-195507.0448479901,883340.3183035433,False
2017-03-28,219788.30133548402,-219788.30133548402,883340.3183035433,False
2017-03-29,-224793.6095547515,224793.6095547515,883340.3183035433,False
2017-03-30,-150274.1865697643,150274.1865697643,883340.3183035433,False
2017-03-31,-137638.48584064265,137638.48584064265,883340.3183035433,False
2017-04-03,151857.2506285104,-151857.2506285104,883340.3183035433,False
2017-04-04,79322.37985556311,-79322.37985556311,883340.3183035433,False
2017-04-05,-224635.5126583932,224635.5126583932,883340.3183035433,False
2017-04-06,143511.9706159116,-143511.9706159116,883340.3183035433,False
2017-04-07,-105228.20288804136,105228.20288804136,883340.3183035433,False
2017-04-10,-198767.47001972172,198767.47001972172,883340.3183035433,False
2017-04-11,457746.59259575466,-457746.59259575466,883340.3183035433,False
2017-04-12,31096.535178445898,-31096.535178445898,883340.3183035433,False
2017-04-13,208600.92941299645,-208600.92941299645,883340.3183035433,False
2017-04-17,180720.6127919958,-180720.6127919958,883340.3183035433,False
2017-04-18,98957.44671457374,-98957.44671457374,883340.3183035433,False
2017-04-19,6668.192017412199,-6668.192017412199,883340.3183035433,False
2017-04-20,132050.24741546833,-132050.24741546833,883340.3183035433,False
2017-04-21,37365.24382181084,-37365.24382181084,883340.3183035433,False
2017-04-24,458515.9083358959,-458515.9083358959,883340.3183035433,False
2017-04-25,81769.56830106385,-81769.56830106385,883340.3183035433,False
2017-04-26,122476.02732860905,-122476.02732860905,883340.3183035433,False
2017-04-27,44624.04477041382,-44624.04477041382,883340.3183035433,False
2017-04-28,-51303.54767884039,51303.54767884039,883340.3183035433,False
2017-05-01,-193885.6555840923,193885.6555840923,883340.3183035433,False
2017-05-02,129779.90952317553,-129779.90952317553,883340.3183035433,False
2017-05-03,-38701.599170121175,38701.599170121175,883340.3183035433,False
2017-05-04,-507770.0369825878,507770.0369825878,883340.3183035433,False
2017-05-05,293862.5002558858,-293862.5002558858,883340.3183035433,False
2017-05-08,-44217.77384272629,44217.77384272629,883340.3183035433,False
2017-05-09,-358184.84179752367,358184.84179752367,883340.3183035433,False
2017-05-10,-105355.37676188645,105355.37676188645,883340.3183035433,False
2017-05-11,18656.57754801686,-18656.57754801686,883340.3183035433,False
2017-05-12,126076.03340594519,-126076.03340594519,883340.3183035433,False
2017-05-15,275028.8658143718,-275028.8658143718,883340.3183035433,False
2017-05-16,210068.25857707468,-210068.25857707468,883340.3183035433,False
2017-05-17,148633.25504962174,-148633.25504962174,883340.3183035433,False
2017-05-18,136384.93291794398,-136384.93291794398,883340.3183035433,False
2017-05-19,137657.1966545137,-137657.1966545137,883340.3183035433,False
2017-05-22,430113.8611242927,-430113.8611242927,883340.3183035433,False
2017-05-23,-27915.374607117017,27915.374607117017,883340.3183035433,False
2017-05-24,7348.678620132654,-7348.678620132654,883340.3183035433,False
2017-05-25,296484.9324589669,-296484.9324589669,883340.3183035433,False
2017-05-26,77188.25916798954,-77188.25916798954,883340.3183035433,False
2017-05-30,-305242.03601003054,305242.03601003054,883340.3183035433,False
2017-05-31,208883.27264720452,-208883.27264720452,883340.3183035433,False
2017-06-01,294747.99838983436,-294747.99838983436,883340.3183035433,False
2017-06-02,324125.643841896,-324125.643841896,883340.3183035433,False
2017-06-05,37087.07405102319,-37087.07405102319,883340.3183035433,False
2017-06-06,171758.4879260775,-171758.4879260775,883340.3183035433,False
2017-06-07,-40425.69515371519,40425.69515371519,883340.3183035433,False
2017-06-08,-171619.11507566684,171619.11507566684,883340.3183035433,False
2017-06-09,-265163.36507341085,265163.36507341085,883340.3183035433,False
2017-06-12,-80132.95681912836,80132.95681912836,883340.3183035433,False
2017-06-13,99519.22971588808,-99519.22971588808,883340.3183035433,False
2017-06-14,418238.2655713524,-418238.2655713524,883340.3183035433,False
2017-06-15,-311934.29404439975,311934.29404439975,883340.3183035433,False
2017-06-16,-45891.505742361434,45891.505742361434,883340.3183035433,False
2017-06-19,163814.90781678885,-163814.90781678885,883340.3183035433,False
2017-06-20,-196607.85931861767,196607.85931861767,883340.3183035433,False
2017-06-21,-162001.68280515625,162001.68280515625,883340.3183035433,False
2017-06-22,123547.48196459928,-123547.48196459928,883340.3183035433,False
2017-06-23,92891.08309323335,-92891.08309323335,883340.3183035433,False
2017-06-26,62643.809589935656,-62643.809589935656,816165.4554840286,False
2017-06-27,-353873.7826499322,353873.7826499322,816165.4554840286,False
2017-06-28,544511.588196639,-544511.588196639,816165.4554840286,False
2017-06-29,-256548.08633856935,256548.08633856935,816165.4554840286,False
2017-06-30,130985.7396878722,-130985.7396878722,816165.4554840286,False
2017-07-03,183160.19838151344,-183160.19838151344,816165.4554840286,False
2017-07-05,-499753.26839117095,499753.26839117095,816165.4554840286,False
2017-07-06,-350765.2868180683,350765.2868180683,816165.4554840286,False
2017-07-07,100354.12377806866,-100354.12377806866,816165.4554840286,False
2017-07-10,-11809.218069656068,11809.218069656068,816165.4554840286,False
2017-07-11,41961.99957052781,-41961.99957052781,816165.4554840286,False
2017-07-12,443033.2376476798,-443033.2376476798,816165.4554840286,False
2017-07-13,-110042.27490129413,110042.27490129413,816165.4554840286,False
2017-07-14,351819.85773921286,-351819.85773921286,816165.4554840286,False
2017-07-17,339034.61802254675,-339034.61802254675,816165.4554840286,False
2017-07-18,81027.30031932627,-81027.30031932627,816165.4554840286,False
2017-07-19,217558.6711688915,-217558.6711688915,816165.4554840286,False
2017-07-20,-41044.270314856694,41044.270314856694,816165.4554840286,False
2017-07-21,271172.5739233506,-271172.5739233506,816165.4554840286,False
2017-07-24,-46282.70999030681,46282.70999030681,816165.4554840286,False
2017-07-25,-96829.07212620162,96829.07212620162,816165.4554840286,False
