scenario,start,end,dow,eurusd,gbpusd,gold,ust10y_bp,portfolio_pnl,loss
brexit_repricing,2016-06-23,2016-06-27,-0.04834970937317984,-0.02577683615819215,-0.09047264859016846,0.04860450364731994,-27.900000000000013,-1685935.4824170223,1685935.4824170223
volmageddon_2018,2018-02-01,2018-02-09,-0.0762146142069774,-0.01272244142040424,-0.018731075276388953,-0.023209105110466477,5.600000000000005,-3597407.65507318,3597407.65507318
covid_selloff,2020-02-19,2020-03-23,-0.36650160164072343,-0.009356183418249175,-0.10606060606060597,-0.02519440124416794,-80.60000000000001,-12438201.805058882,12438201.805058882
pandemic_reflation,2020-11-02,2021-03-31,0.224939229453613,0.007043463322453425,0.0634331244681674,-0.09341938214134582,89.7,5004282.809887011,-5004282.809887011
